formula_pretty,energy_above_hull,Delta_R_mm,match_atoms,dop_element,matrix_element,dop_oxi,matrix_oxi,Delta_R_md,abs_Delta_R_md,abs_Delta_eln,coordination,name_maxr,name_mine,concentration,electrons_nuber,E_mine_UP,E_maxr_UP,calc_name_mine,calc_name_maxr,d_energy_dft,concentration_dft,bond_energy_dft
Li3BN2,0.0,0.98,"['Li', 'B']",Mg,Li,2.0,1.0,-0.03,0.03,0.33,4,POSCAR_mp-8926_Li3BN2_Mg_Li_max_r,POSCAR_mp-8926_Li3BN2_Mg_Li_min_e,0.02,256.0,-542.3800659179688,-541.7220458984375,mp-8926_Li3BN2_Mg_Li_min_e_c4.1mm.1,mp-8926_Li3BN2_Mg_Li_max_r_c4.1mm.1,0.6460538625001391,0.023374090642496077,-0.5818471799999543
Li5AlO4,0.0,0.34,"['Li', 'Al']",Cr,Al,4.0,3.0,0.05,0.05,0.05,4,POSCAR_mp-15960_Li5AlO4_Cr_Al_max_r,POSCAR_mp-15960_Li5AlO4_Cr_Al_min_e,0.14,258.0,-437.7552795410156,-437.0970458984375,mp-15960_Li5AlO4_Cr_Al_min_e_c4.1mm.1,mp-15960_Li5AlO4_Cr_Al_max_r_c4.1mm.1,0.6564658599999653,0.049195997002735706,-0.6201558300000443
Sr2LiCBr3N2,0.0,0.36,"['Sr', 'Li']",Mg,Li,2.0,1.0,-0.05,0.05,0.33,6,POSCAR_mp-569782_Sr2LiCBr3N2_Mg_Li_max_r,POSCAR_mp-569782_Sr2LiCBr3N2_Mg_Li_min_e,0.07,896.0,-782.64501953125,-782.6055297851562,mp-569782_Sr2LiCBr3N2_Mg_Li_min_e_c6.1mm.1,mp-569782_Sr2LiCBr3N2_Mg_Li_max_r_c6.1mm.1,0.6735354425000324,0.019922535805288407,-0.050432799999953204
Li3AlN2,0.0,0.34,"['Li', 'Al']",Mg,Li,2.0,1.0,-0.03,0.03,0.33,4,POSCAR_mp-13944_Li3AlN2_Mg_Li_max_r,POSCAR_mp-13944_Li3AlN2_Mg_Li_min_e,0.02,256.0,-496.303955078125,-495.913330078125,mp-13944_Li3AlN2_Mg_Li_min_e_c4.1mm.1,mp-13944_Li3AlN2_Mg_Li_max_r_c4.1mm.1,0.69696690708337,0.017385249177601425,-0.4749298799999906
Li3BO3,0.0,0.98,"['Li', 'B']",Mg,Li,2.0,1.0,-0.03,0.03,0.33,4,POSCAR_mp-27275_Li3BO3_Mg_Li_max_r,POSCAR_mp-27275_Li3BO3_Mg_Li_min_e,0.03,288.0,-512.4566040039062,-512.0191040039062,mp-27275_Li3BO3_Mg_Li_min_e_c4.1mm.1,mp-27275_Li3BO3_Mg_Li_max_r_c4.1mm.1,0.77107877166668,0.011299281782651858,-0.4741565399999672
Li5AlO4,0.0,0.34,"['Li', 'Al']",Ge,Al,4.0,3.0,0.0,0.0,0.4,4,POSCAR_mp-15960_Li5AlO4_Ge_Al_max_r,POSCAR_mp-15960_Li5AlO4_Ge_Al_min_e,0.14,256.0,-435.8708190917969,-435.1890258789063,mp-15960_Li5AlO4_Ge_Al_min_e_c4.1mm.1,mp-15960_Li5AlO4_Ge_Al_max_r_c4.1mm.1,0.7740927625000111,0.02482707814819226,-0.679926900000055
Li5AlO4,0.0,0.34,"['Li', 'Al']",Ti,Al,4.0,3.0,0.08,0.08,0.07,4,POSCAR_mp-15960_Li5AlO4_Ti_Al_max_r,POSCAR_mp-15960_Li5AlO4_Ti_Al_min_e,0.14,256.0,-442.7429809570313,-441.9936218261719,mp-15960_Li5AlO4_Ti_Al_min_e_c4.1mm.1,mp-15960_Li5AlO4_Ti_Al_max_r_c4.1mm.1,0.7750275125000172,0.024692519050646948,-0.7062594100000297
Li7PN4,0.0,0.71,"['Li', 'P']",Mg,Li,2.0,1.0,-0.03,0.03,0.33,4,POSCAR_mp-14712_Li7PN4_Mg_Li_max_r,POSCAR_mp-14712_Li7PN4_Mg_Li_min_e,0.02,256.0,-481.9791564941406,-481.1909790039063,mp-14712_Li7PN4_Mg_Li_min_e_c4.1mm.1,mp-14712_Li7PN4_Mg_Li_max_r_c4.1mm.1,0.8386726116071412,0.0076274358188084005,-0.9727659000000131
Li7PN4,0.0,0.71,"['Li', 'P']",S,P,6.0,5.0,-0.29,0.29,0.39,4,POSCAR_mp-14712_Li7PN4_S_P_max_r,POSCAR_mp-14712_Li7PN4_S_P_min_e,0.14,256.0,-478.3342590332031,-478.1277465820313,mp-14712_Li7PN4_S_P_min_e_c4.1mm.1,mp-14712_Li7PN4_S_P_max_r_c4.1mm.1,0.8458576533333009,0.019354661584979834,-0.2508075700000063
Li8ZrO6,0.0,0.05,"['Li', 'Zr']",Ta,Zr,5.0,4.0,-0.11,0.11,0.17,6,POSCAR_mp-755225_Li8ZrO6_Ta_Zr_max_r,POSCAR_mp-755225_Li8ZrO6_Ta_Zr_min_e,0.09,664.0,-1034.054931640625,-1033.82373046875,mp-755225_Li8ZrO6_Ta_Zr_min_e_c6.1mm.1,mp-755225_Li8ZrO6_Ta_Zr_max_r_c6.1mm.1,0.957030869999997,0.01084108501574414,-0.17399602999989838
