material_id,crystal_system,space_group,theoretical,reduction_limit,oxidation_limit,reduction_reaction,oxidation_reaction,formula_pretty,chemsys,nsites,energy_above_hull,band_gap,is_stable
mp-754162,Monoclinic,P2_1/c,True,0.0,2.93,4 LiGdO2 -> 4 LiGdO2,4 LiGdO2 -> Li2O2 + 2 Gd2O3 + 2 Li,LiGdO2,Gd-Li-O,16,0.01,2.8,False
mp-780259,Tetragonal,P4_2/nmc,True,0.0,2.88,8 Li5LaO4 -> 20 Li2O + 4 La2O3,8 Li5LaO4 -> 10 Li2O2 + 4 La2O3 + 20 Li,Li5LaO4,La-Li-O,80,0.05,3.4,False
mp-1181918,Monoclinic,C2/m,True,0.0,2.35,2 Cs3Li2I5 -> 4 LiI + 6 CsI,2 Cs3Li2I5 -> 2 CsI3 + 4 CsI + 4 Li,Cs3Li2I5,Cs-I-Li,20,0.02,3.74,False
mp-1020031,Monoclinic,P2_1/c,False,0.0,0.85,4 LiCaAlN2 -> 4 LiCaAlN2,4 LiCaAlN2 -> Ca3Al3N5 + CaN2 + AlN + 4 Li,LiCaAlN2,Al-Ca-Li-N,20,0.0,2.78,True
mp-1222355,Monoclinic,P2_1/c,True,0.0,2.88,4 LiNdO2 -> 2 Li2O + 2 Nd2O3,4 LiNdO2 -> Li2O2 + 2 Nd2O3 + 2 Li,LiNdO2,Li-Nd-O,16,0.01,3.66,False
mp-1190687,Orthorhombic,Pbcn,False,0.0,4.27,4 CsLi2Cl3 -> 4 CsLiCl2 + 4 LiCl,4 CsLi2Cl3 -> 4 CsLiCl2 + 2 Cl2 + 4 Li,CsLi2Cl3,Cl-Cs-Li,24,0.0,5.33,True
mp-4495,Tetragonal,P4/nmm,False,0.0,1.55,2 KLiTe -> 2 KLiTe,2 KLiTe -> 2 KTe + 2 Li,KLiTe,K-Li-Te,6,0.0,2.41,True
mp-1184020,Monoclinic,Pm,True,0.0,2.35,2 CsLi3I4 -> 6 LiI + 2 CsI,2 CsLi3I4 -> 2 CsI3 + 2 LiI + 4 Li,CsLi3I4,Cs-I-Li,16,0.01,4.28,False
mp-1189357,Orthorhombic,C222_1,True,0.0,2.96,2 Cs3LiBr4 -> 2 LiBr + 6 CsBr,2 Cs3LiBr4 -> CsBr3 + 5 CsBr + 2 Li,Cs3LiBr4,Br-Cs-Li,16,0.04,4.04,False
mp-1079935,Trigonal,R-3c,True,0.0,0.99,2 LiCaH3 -> 2 CaH2 + 2 LiH,2 LiCaH3 -> 2 CaH2 + H2 + 2 Li,LiCaH3,Ca-H-Li,10,0.02,2.55,False
mp-571390,Orthorhombic,Cmcm,True,0.0,4.3,2 Cs2LiCl3 -> 2 CsLiCl2 + 2 CsCl,2 Cs2LiCl3 -> Cl2 + 4 CsCl + 2 Li,Cs2LiCl3,Cl-Cs-Li,12,0.02,5.13,False
mp-985585,Cubic,Pm-3m,True,0.0,2.87,Li3ClO -> Li2O + LiCl,Li3ClO -> 0.25 LiClO4 + 0.75 LiCl + 2 Li,Li3ClO,Cl-Li-O,5,0.03,4.68,False
mp-1188344,Monoclinic,C2/c,False,0.0,4.3,4 CsLiCl2 -> 4 CsLiCl2,4 CsLiCl2 -> 2 Cl2 + 4 CsCl + 4 Li,CsLiCl2,Cl-Cs-Li,16,0.0,5.11,True
mp-1020016,Monoclinic,C2/m,False,0.0,0.83,Li4Ca2Mg(SiN3)2 -> Li4Ca2Mg(SiN3)2,Li4Ca2Mg(SiN3)2 -> 0.625 LiCa3Si2N5 + 0.125 CaMg3SiN4 + 0.625 MgSiN2 + 0.375 LiN3 + 3 Li,Li4Ca2Mg(SiN3)2,Ca-Li-Mg-N-Si,15,0.0,3.05,True
mp-23057,Tetragonal,P4/nmm,False,0.0,2.96,2 CsLiBr2 -> 2 LiBr + 2 CsBr,2 CsLiBr2 -> CsBr3 + CsBr + 2 Li,CsLiBr2,Br-Cs-Li,8,0.0,4.14,True
