Substrate,Film,Substrate Miller,Film Miller,"Misfit, %",Termination,n_at,Slab
,,(012),(001),"2.0, 0.0","('LiSO3_P1_5', 'O2_P2_1/m_2')",76.0,LiCoO2_Li2SO4_012_001_76at_LiSO3_P1_5_O2_P2_1m_2
,,(012),(001),"2.0, 0.0","('LiSO3_P1_5', 'O2_P2_1/m_2')",152.0,LiCoO2_Li2SO4_012_001_152at_LiSO3_P1_5_O2_P2_1m_2
,,(012),(001),"2.0, 0.0","('LiSO3_P1_5', 'O2_P2_1/m_2')",228.0,LiCoO2_Li2SO4_012_001_228at_LiSO3_P1_5_O2_P2_1m_2
,,(012),(001),"2.0, 0.0","('LiSO3_P1_5', 'O2_P2_1/m_2')",304.0,LiCoO2_Li2SO4_012_001_304at_LiSO3_P1_5_O2_P2_1m_2
,,(012),(001),"2.0, 0.0","('LiSO3_P1_5', 'O2_P2_1/m_2')",320.0,LiCoO2_Li2SO4_012_001_320at_LiSO3_P1_5_O2_P2_1m_2
,,(012),(001),"2.0, 0.0","('LiSO3_P1_5', 'O2_P2_1/m_2')",364.0,LiCoO2_Li2SO4_012_001_364at_LiSO3_P1_5_O2_P2_1m_2
,,(012),(001),"2.0, 0.0","('LiSO3_P1_5', 'O2_P2_1/m_2')",380.0,LiCoO2_Li2SO4_012_001_380at_LiSO3_P1_5_O2_P2_1m_2
,,(012),(001),"2.0, 0.0","('LiSO3_P1_5', 'O2_P2_1/m_2')",396.0,LiCoO2_Li2SO4_012_001_396at_LiSO3_P1_5_O2_P2_1m_2
LiCoO2,Li2SO4,(012),(10-1),"2.0, 1.0",,,
,,(012),(10-1),"2.0, 1.0","('SO2_Pm_3', 'O2_P2_1/m_2')",152.0,LiCoO2_Li2SO4_012_10-1_152at_SO2_Pm_3_O2_P2_1m_2
,,(012),(10-1),"2.0, 1.0","('SO2_Pm_3', 'O2_P2_1/m_2')",168.0,LiCoO2_Li2SO4_012_10-1_168at_SO2_Pm_3_O2_P2_1m_2
,,(012),(10-1),"2.0, 1.0","('SO2_Pm_3', 'O2_P2_1/m_2')",184.0,LiCoO2_Li2SO4_012_10-1_184at_SO2_Pm_3_O2_P2_1m_2
,,(012),(10-1),"2.0, 1.0","('SO2_Pm_3', 'O2_P2_1/m_2')",244.0,LiCoO2_Li2SO4_012_10-1_244at_SO2_Pm_3_O2_P2_1m_2
,,(012),(10-1),"2.0, 1.0","('SO2_Pm_3', 'O2_P2_1/m_2')",260.0,LiCoO2_Li2SO4_012_10-1_260at_SO2_Pm_3_O2_P2_1m_2
,,(012),(10-1),"2.0, 1.0","('SO2_Pm_3', 'O2_P2_1/m_2')",336.0,LiCoO2_Li2SO4_012_10-1_336at_SO2_Pm_3_O2_P2_1m_2
,,(012),(10-1),"2.0, 1.0","('SO2_Pm_3', 'O2_P2_1/m_2')",352.0,LiCoO2_Li2SO4_012_10-1_352at_SO2_Pm_3_O2_P2_1m_2
,,(012),(10-1),"2.0, 1.0","('O2_Pmmm_1', 'O2_P2_1/m_2')",152.0,LiCoO2_Li2SO4_012_10-1_152at_O2_Pmmm_1_O2_P2_1m_2
,,(012),(10-1),"2.0, 1.0","('O2_Pmmm_1', 'O2_P2_1/m_2')",168.0,LiCoO2_Li2SO4_012_10-1_168at_O2_Pmmm_1_O2_P2_1m_2
,,(012),(10-1),"2.0, 1.0","('O2_Pmmm_1', 'O2_P2_1/m_2')",184.0,LiCoO2_Li2SO4_012_10-1_184at_O2_Pmmm_1_O2_P2_1m_2
,,(012),(10-1),"2.0, 1.0","('O2_Pmmm_1', 'O2_P2_1/m_2')",244.0,LiCoO2_Li2SO4_012_10-1_244at_O2_Pmmm_1_O2_P2_1m_2
,,(012),(10-1),"2.0, 1.0","('O2_Pmmm_1', 'O2_P2_1/m_2')",260.0,LiCoO2_Li2SO4_012_10-1_260at_O2_Pmmm_1_O2_P2_1m_2
,,(012),(10-1),"2.0, 1.0","('O2_Pmmm_1', 'O2_P2_1/m_2')",336.0,LiCoO2_Li2SO4_012_10-1_336at_O2_Pmmm_1_O2_P2_1m_2
,,(012),(10-1),"2.0, 1.0","('O2_Pmmm_1', 'O2_P2_1/m_2')",352.0,LiCoO2_Li2SO4_012_10-1_352at_O2_Pmmm_1_O2_P2_1m_2
,,(012),(10-1),"2.0, 1.0","('Li_P-1_2', 'O2_P2_1/m_2')",152.0,LiCoO2_Li2SO4_012_10-1_152at_Li_P-1_2_O2_P2_1m_2
,,(012),(10-1),"2.0, 1.0","('Li_P-1_2', 'O2_P2_1/m_2')",168.0,LiCoO2_Li2SO4_012_10-1_168at_Li_P-1_2_O2_P2_1m_2
,,(012),(10-1),"2.0, 1.0","('Li_P-1_2', 'O2_P2_1/m_2')",184.0,LiCoO2_Li2SO4_012_10-1_184at_Li_P-1_2_O2_P2_1m_2
,,(012),(10-1),"2.0, 1.0","('Li_P-1_2', 'O2_P2_1/m_2')",244.0,LiCoO2_Li2SO4_012_10-1_244at_Li_P-1_2_O2_P2_1m_2
,,(012),(10-1),"2.0, 1.0","('Li_P-1_2', 'O2_P2_1/m_2')",260.0,LiCoO2_Li2SO4_012_10-1_260at_Li_P-1_2_O2_P2_1m_2
,,(012),(10-1),"2.0, 1.0","('Li_P-1_2', 'O2_P2_1/m_2')",336.0,LiCoO2_Li2SO4_012_10-1_336at_Li_P-1_2_O2_P2_1m_2
,,(012),(10-1),"2.0, 1.0","('Li_P-1_2', 'O2_P2_1/m_2')",352.0,LiCoO2_Li2SO4_012_10-1_352at_Li_P-1_2_O2_P2_1m_2
LiCoO2,Li2SO4,(012),(100),"2.0, 0.0",,,
,,(012),(100),"2.0, 0.0","('Li2O2_Pc_4', 'O2_P2_1/m_2')",76.0,LiCoO2_Li2SO4_012_100_76at_Li2O2_Pc_4_O2_P2_1m_2
,,(012),(100),"2.0, 0.0","('Li2O2_Pc_4', 'O2_P2_1/m_2')",152.0,LiCoO2_Li2SO4_012_100_152at_Li2O2_Pc_4_O2_P2_1m_2
,,(012),(100),"2.0, 0.0","('Li2O2_Pc_4', 'O2_P2_1/m_2')",212.0,LiCoO2_Li2SO4_012_100_212at_Li2O2_Pc_4_O2_P2_1m_2
,,(012),(100),"2.0, 0.0","('Li2O2_Pc_4', 'O2_P2_1/m_2')",228.0,LiCoO2_Li2SO4_012_100_228at_Li2O2_Pc_4_O2_P2_1m_2
,,(012),(100),"2.0, 0.0","('Li2O2_Pc_4', 'O2_P2_1/m_2')",288.0,LiCoO2_Li2SO4_012_100_288at_Li2O2_Pc_4_O2_P2_1m_2
,,(012),(100),"2.0, 0.0","('Li2O2_Pc_4', 'O2_P2_1/m_2')",304.0,LiCoO2_Li2SO4_012_100_304at_Li2O2_Pc_4_O2_P2_1m_2
,,(012),(100),"2.0, 0.0","('Li2O2_Pc_4', 'O2_P2_1/m_2')",320.0,LiCoO2_Li2SO4_012_100_320at_Li2O2_Pc_4_O2_P2_1m_2
,,(012),(100),"2.0, 0.0","('Li2O2_Pc_4', 'O2_P2_1/m_2')",364.0,LiCoO2_Li2SO4_012_100_364at_Li2O2_Pc_4_O2_P2_1m_2
,,(012),(100),"2.0, 0.0","('Li2O2_Pc_4', 'O2_P2_1/m_2')",380.0,LiCoO2_Li2SO4_012_100_380at_Li2O2_Pc_4_O2_P2_1m_2
,,(012),(100),"2.0, 0.0","('Li2O2_Pc_4', 'O2_P2_1/m_2')",396.0,LiCoO2_Li2SO4_012_100_396at_Li2O2_Pc_4_O2_P2_1m_2
,,(012),(100),"2.0, 0.0","('O2_P2/c_2', 'O2_P2_1/m_2')",76.0,LiCoO2_Li2SO4_012_100_76at_O2_P2c_2_O2_P2_1m_2
,,(012),(100),"2.0, 0.0","('O2_P2/c_2', 'O2_P2_1/m_2')",152.0,LiCoO2_Li2SO4_012_100_152at_O2_P2c_2_O2_P2_1m_2
,,(012),(100),"2.0, 0.0","('O2_P2/c_2', 'O2_P2_1/m_2')",212.0,LiCoO2_Li2SO4_012_100_212at_O2_P2c_2_O2_P2_1m_2
,,(012),(100),"2.0, 0.0","('O2_P2/c_2', 'O2_P2_1/m_2')",228.0,LiCoO2_Li2SO4_012_100_228at_O2_P2c_2_O2_P2_1m_2
,,(012),(100),"2.0, 0.0","('O2_P2/c_2', 'O2_P2_1/m_2')",288.0,LiCoO2_Li2SO4_012_100_288at_O2_P2c_2_O2_P2_1m_2
,,(012),(100),"2.0, 0.0","('O2_P2/c_2', 'O2_P2_1/m_2')",304.0,LiCoO2_Li2SO4_012_100_304at_O2_P2c_2_O2_P2_1m_2
,,(012),(100),"2.0, 0.0","('O2_P2/c_2', 'O2_P2_1/m_2')",320.0,LiCoO2_Li2SO4_012_100_320at_O2_P2c_2_O2_P2_1m_2
,,(012),(100),"2.0, 0.0","('O2_P2/c_2', 'O2_P2_1/m_2')",364.0,LiCoO2_Li2SO4_012_100_364at_O2_P2c_2_O2_P2_1m_2
,,(012),(100),"2.0, 0.0","('O2_P2/c_2', 'O2_P2_1/m_2')",380.0,LiCoO2_Li2SO4_012_100_380at_O2_P2c_2_O2_P2_1m_2
